Latitude,Longitude,Foursquare Name,Distance,Popularity,Rating,Price
53.35023,-6.279696,"0       Urbanity Coffee
1       The Porterhouse
2       Lilliput Stores
3       Brother Hubbard
4              Hacienda
5    Light House Cinema
6            PHX Bistro
7        Queen of Tarts
8                  BoCo
9             Oxmantown
Name: name, dtype: object",0,"0    0.992885
1    0.995971
2    0.958540
3    0.976313
4    0.920853
5    0.990199
6    0.949454
7    0.976742
8    0.961255
9    0.953769
Name: popularity, dtype: float64","0    9.3
1    9.2
2    9.1
3    9.1
4    9.1
5    9.1
6    9.1
7    9.0
8    9.0
9    8.9
Name: rating, dtype: float64","0    1.0
1    2.0
2    NaN
3    2.0
4    1.0
5    NaN
6    NaN
7    2.0
8    1.0
9    1.0
Name: price, dtype: float64"
53.357841,-6.251557,"0                     147 Deli
1      Gate Theatre Box Office
2           Croke Park Stadium
3               La Pausa Caffe
4                 Coffee Angel
5             The Pig & Heifer
6       Chapter One Restaurant
7        Delfin English School
8    El Grito Mexican Taqueria
9                     Da Mimmo
Name: name, dtype: object",0,"0    0.977284
1    0.929310
2    0.997200
3    0.977342
4    0.982028
5    0.980113
6    0.956798
7    0.958969
8    0.977656
9    0.894280
Name: popularity, dtype: float64","0    9.4
1    9.0
2    9.0
3    9.0
4    8.9
5    8.9
6    8.8
7    8.7
8    8.7
9    8.7
Name: rating, dtype: float64","0    1.0
1    NaN
2    NaN
3    1.0
4    1.0
5    1.0
6    NaN
7    NaN
8    1.0
9    2.0
Name: price, dtype: float64"
53.356307,-6.273717,"0                   147 Deli
1            Lilliput Stores
2                   Hacienda
3         Light House Cinema
4                       BoCo
5    Gate Theatre Box Office
6             La Pausa Caffe
7     Old Jameson Distillery
8            The Black Sheep
9             The Bald Eagle
Name: name, dtype: object",0,"0    0.977284
1    0.958540
2    0.920853
3    0.990199
4    0.961255
5    0.929310
6    0.977342
7    0.998857
8    0.984371
9    0.981770
Name: popularity, dtype: float64","0    9.4
1    9.1
2    9.1
3    9.1
4    9.0
5    9.0
6    9.0
7    8.9
8    8.8
9    8.8
Name: rating, dtype: float64","0    1.0
1    NaN
2    1.0
3    NaN
4    1.0
5    NaN
6    1.0
7    2.0
8    2.0
9    3.0
Name: price, dtype: float64"
53.349562,-6.278198,"0     St Patrick's Park
1       Urbanity Coffee
2       The Porterhouse
3       Lilliput Stores
4       Brother Hubbard
5              Hacienda
6    Light House Cinema
7            PHX Bistro
8        Queen of Tarts
9                  BoCo
Name: name, dtype: object",0,"0    0.999257
1    0.992885
2    0.995971
3    0.958540
4    0.976313
5    0.920853
6    0.990199
7    0.949454
8    0.976742
9    0.961255
Name: popularity, dtype: float64","0    9.3
1    9.3
2    9.2
3    9.1
4    9.1
5    9.1
6    9.1
7    9.1
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    1.0
2    2.0
3    NaN
4    2.0
5    1.0
6    NaN
7    NaN
8    2.0
9    1.0
Name: price, dtype: float64"
53.336021,-6.26298,"0           St. Stephen's Green
1                 Hodges Figgis
2             St Patrick's Park
3           Merrion Square Park
4                 College Green
5                Iveagh Gardens
6             Murphys Ice Cream
7    Teeling Whiskey Distillery
8                Fallon & Byrne
9                   Bibi's Cafe
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999257
3    0.999486
4    0.998543
5    0.983256
6    0.994857
7    0.995400
8    0.985942
9    0.956512
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.3
3    9.2
4    9.2
5    9.2
6    9.1
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    NaN
5    NaN
6    1.0
7    NaN
8    2.0
9    2.0
Name: price, dtype: float64"
53.359405,-6.276142,"0                        BoCo
1              La Pausa Caffe
2      Chapter One Restaurant
3              The Bald Eagle
4               The Back Page
5                       Slice
6              Clarkes Bakery
7            Blessington Park
8    Sweeney's Wine Merchants
9            Midnight Express
Name: name, dtype: object",0,"0    0.961255
1    0.977342
2    0.956798
3    0.981770
4    0.967970
5    0.960055
6    0.932853
7    0.996543
8    0.992771
9    0.935711
Name: popularity, dtype: float64","0    9.0
1    9.0
2    8.8
3    8.8
4    8.7
5    8.4
6    8.3
7    8.3
8    8.3
9    8.0
Name: rating, dtype: float64","0    1.0
1    1.0
2    NaN
3    3.0
4    2.0
5    1.0
6    1.0
7    NaN
8    NaN
9    1.0
Name: price, dtype: float64"
53.33796,-6.24153,"0           Merrion Square Park
1    Apartment Grand Canal Dock
2    Third Floor Espresso (3FE)
3                   Coffeeangel
4             Juniors Deli Cafe
5                Paulie's Pizza
6                    Press Cafe
7                    Lotts & Co
8                 Aviva Stadium
9      Bord Gáis Energy Theatre
Name: name, dtype: object",0,"0    0.999486
1    0.953369
2    0.992485
3    0.985342
4    0.913995
5    0.940425
6    0.918452
7    0.976884
8    0.995114
9    0.980513
Name: popularity, dtype: float64","0    9.2
1    9.1
2    9.1
3    9.0
4    9.0
5    9.0
6    8.9
7    8.9
8    8.9
9    8.9
Name: rating, dtype: float64","0    NaN
1    NaN
2    2.0
3    1.0
4    2.0
5    2.0
6    1.0
7    NaN
8    2.0
9    NaN
Name: price, dtype: float64"
53.343368,-6.27012,"0           St. Stephen's Green
1                 Hodges Figgis
2             St Patrick's Park
3               Urbanity Coffee
4               The Porterhouse
5         Vintage Cocktail Club
6                 College Green
7             Murphys Ice Cream
8    Teeling Whiskey Distillery
9                Fallon & Byrne
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999257
3    0.992885
4    0.995971
5    0.963312
6    0.998543
7    0.994857
8    0.995400
9    0.985942
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.3
3    9.3
4    9.2
5    9.2
6    9.2
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    1.0
4    2.0
5    3.0
6    NaN
7    1.0
8    NaN
9    2.0
Name: price, dtype: float64"
53.334123,-6.265436,"0           St. Stephen's Green
1             St Patrick's Park
2                Iveagh Gardens
3    Teeling Whiskey Distillery
4                   Bibi's Cafe
5                      P. Mac's
6        Butlers Chocolate Café
7                     Blackbird
8                        Bunsen
9              Green Bench Cafe
Name: name, dtype: object",0,"0    0.999829
1    0.999257
2    0.983256
3    0.995400
4    0.956512
5    0.973084
6    0.998714
7    0.985456
8    0.968627
9    0.898166
Name: popularity, dtype: float64","0    9.5
1    9.3
2    9.2
3    9.1
4    9.1
5    9.0
6    9.0
7    9.0
8    9.0
9    9.0
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    NaN
4    2.0
5    2.0
6    1.0
7    2.0
8    2.0
9    1.0
Name: price, dtype: float64"
53.344304,-6.250427,"0                 St. Stephen's Green
1                       Hodges Figgis
2                 Merrion Square Park
3               Vintage Cocktail Club
4                       College Green
5                   Murphys Ice Cream
6          Apartment Grand Canal Dock
7                      Fallon & Byrne
8    EPIC The Irish Emigration Museum
9          Irish Film Institute (IFI)
Name: name, dtype: object",0,"0    0.999829
1    0.997400
2    0.999486
3    0.963312
4    0.998543
5    0.994857
6    0.953369
7    0.985942
8    0.997143
9    0.970627
Name: popularity, dtype: float64","0    9.5
1    9.4
2    9.2
3    9.2
4    9.2
5    9.1
6    9.1
7    9.1
8    9.1
9    9.1
Name: rating, dtype: float64","0    NaN
1    NaN
2    NaN
3    3.0
4    NaN
5    1.0
6    NaN
7    2.0
8    NaN
9    2.0
Name: price, dtype: float64"
